Kod produktu,active,stock,price,Nazwa produktu,Kondycja|797|select,Producent|798|select,Model|799|text,Seria procesora|800|select,Stan ekranu|801|text,Stan obudowy|802|text,Procesor|803|select,Ilość rdzeni|805|select,Ilość pamięci RAM|806|select,Dysk|808|select,Licencja|811|select,Ekran dotykowy|814|select,Rozdzielczość ekranu|815|select,Przekątna ekranu|816|select,Rodzaj karty graficznej|818|select,Bateria|823|select,Zainstalowany system|1078|select,1,2,3,4
5520,1,11,2899,"Laptop Dell Precision 7730 i7 - 8750H | 32GB 512GB SSD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",Dell,Precision 7730,Intel Core i7,Bez wad,"Normalne, małe ślady użytkowania","i7 - 8750H, 9MB Cache, 8 gen.",6,32GB,512GB,Windows 10 Professional,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5838,1,44,2999,"Laptop HP ZBook 17 G5 i7 - 8850H | 32GB 1TB 500GB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook 17 G5,,Bez wad,"Normalne, małe slady użytkowania","i7 - 8850H, 9MB Cache, 8 gen.",6,32GB,1TB,Windows 11 Pro,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5601,1,21,3999,"Laptop HP ZBook 17 G5 i7 - 9850H | 32GB 1TB 1TB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]","""A"" poleasingowy, przetestowany",HP,ZBook 17 G5,Intel Core i7,Bez wad,"Normalne, małe slady użytkowania","i7 - 9850H, 12MB Cache, 9 gen.",6,32GB,1TB,Windows 11 Pro,Nie,1920 x 1080,"17,3""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 11 Pro,c,a,c,
5604,1,45,3090,"Laptop Apple Apple MacBook Pro A1990 2019r. i9 - 9880H | 32GB 512GB SSD | 15,6"" 2880 x 1800 | MacOS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,Apple MacBook Pro A1990 2019r.,Intel Core i9,Mikro otarcia,"Normalne ślady użytkowania, małe ryski/otarcia","i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,512GB,Mac OS,Nie,2880 x 1800,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
4590,1,24,3499,"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A-]","""A-"" poleasingowy, przetestowany",Apple,MacBook Pro A2141 2019r.,Intel Core i9,"Minimalne otarcia, praktycznie niewidoczne przy włączonym ekranie",Normalne ślady użytkowania,"i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,1TB,Brak,Nie,,"16""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
6311,1,13,3999,"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A]","""A"" poleasingowy, przetestowany",Apple,MacBook Pro A2141 2019r.,Intel Core i9,Bez wad,Normalne ślady użytkowania,"i9 - 9880H, 16MB Cache, 9 gen.",8,32GB,1TB,Brak,Nie,,"16""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)","MacOS 13, Ventura",c,a,c,
4908,1,18,799,"Laptop HP ZBook 15 G2 i5 - 4300M | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]","""A-"" poleasingowy, przetestowany",HP,ZBook 15 G2,Intel Core i5,"Występują ryski, otarcia, poświatki",Normalne ślady użytkowania,"i5 - 4300M 3MB Cache, 4 gen.",,16GB,240GB,Windows 7 Professional,Nie,1920 x 1080,"15,6""",Dedykowana,"Oryginalna, czas pracy min. 1h (używana)",Windows 10 Professional,c,a,b,
5281,1,20,222,"Laptop Asus Chromebook C204E | 4GB 32GB SSD | 11,6"" 1366 x 768 | Chrome OS [A]","""A"" poleasingowy, przetestowany",Asus,Chromebook C204E,Intel Celeron,Bez wad,"Normalne ślady użytkowania, możliwy skin na klapie",,2,4GB,32GB,Chrome OS,Nie,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy min. 2h (używana)",Chrome OS,a,b,a,
4019,1,15,299,"Laptop Dell Chromebook 3100 2-in-1 | 4GB 32GB | 11,6"" 1366 x 768 | ChromeOS [A]","""A"" poleasingowy, przetestowany",Dell,Chromebook 3100 2-in-1,Intel Celeron,Bez wad,Normalne ślady użytkowania,,2,4GB,32GB,,Tak,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Chrome OS,a,b,a,
4309,1,20,299,"Laptop Acer Chromebook R752 | 4GB 32GB | 11,6"" 1366 x 768 | Chrome OS [A]","""A"" poleasingowy, przetestowany",Acer,Chromebook R752,Intel Celeron,Bez wad,"Normalne ślady użytkowania, możliwy skin",,2,4GB,32GB,Chrome OS,Tak,1366 x 768,"11,6""",Zintegrowana,"Oryginalna, czas pracy od 2h do 4h (używana)",Chrome OS,a,b,a,
